Movie Title,Related Movie Title,Wikipedia URL,YouTube URL,Description
The Godfather,The Godfather Part II,https://en.wikipedia.org/wiki/The_Godfather_Part_II,https://www.youtube.com/watch?v=9O1Iy9od7-A,"The continuing saga of the Corleone crime family tells the story of a young Vito Corleone growing up in Sicily and in 1910s New York; and follows Michael Corleone in the 1950s as he attempts to expand the family business into Las Vegas, Hollywood and Cuba."
The Godfather,Taxi Driver,https://en.wikipedia.org/wiki/Taxi_Driver,https://www.youtube.com/watch?v=T5IligQP7Fo,"Travis Bickle is an ex-Marine and Vietnam War veteran living in New York City. As he suffers from insomnia, he spends his time working as a taxi driver at night, watching porn movies at seedy cinemas during the day, or thinking about how the world, New York in particular, has deteriorated into a cesspool. He's a loner who has strong opinions about what is right and wrong with mankind. For him, the one bright spot in New York humanity is Betsy, a worker on the presidential nomination campaign of Senator Charles Palantine. He becomes obsessed with her. After an incident with her, he believes he has to do whatever he needs to make the world a better place in his opinion. One of his priorities is to be the savior for Iris, a twelve-year-old runaway and prostitute who he believes wants out of the profession and under the thumb of her pimp and lover Matthew."
The Godfather,The Many Saints of Newark,https://en.wikipedia.org/wiki/The_Many_Saints_of_Newark,https://www.youtube.com/watch?v=dHa95iy2lF0,"Young Anthony Soprano is growing up in one of the most tumultuous eras in Newark's history, becoming a man just as rival gangsters begin to rise up and challenge the all-powerful DiMeo crime family's hold over the increasingly race-torn city. Caught up in the changing times is the uncle he idolizes, Dickie Moltisanti, who struggles to manage both his professional and personal responsibilities and whose influence over his nephew will help make the impressionable teenager into the all-powerful mob boss we'll later come to know: Tony Soprano."
The Godfather,The King of Staten Island,https://en.wikipedia.org/wiki/The_King_of_Staten_Island,https://www.youtube.com/watch?v=azkVr0VUSTA,"Scott has been a case of arrested development ever since his firefighter father died when he was seven. He's now reached his mid-20s having achieved little, chasing a dream of becoming a tattoo artist that seems far out of reach. As his ambitious younger sister heads off to college, Scott is still living with his exhausted ER nurse mother and spends his days smoking weed, hanging with the guys - Oscar, Igor and Richie - and secretly hooking up with his childhood friend Kelsey. But when his mother starts dating a loudmouth firefighter named Ray, it sets off a chain of events that will force Scott to grapple with his grief and take his first tentative steps toward moving forward in life."
The Godfather,Scarface,http://en.wikipedia.org/wiki/Scarface_(1983_movie),https://www.youtube.com/watch?v=7pQQHnqBa2E,"Tony Montana manages to leave Cuba during the Mariel exodus of 1980. He finds himself in a Florida refugee camp but his friend Manny has a way out for them: undertake a contract killing and arrangements will be made to get a green card. He's soon working for drug dealer Frank Lopez and shows his mettle when a deal with Colombian drug dealers goes bad. He also brings a new level of violence to Miami. Tony is protective of his younger sister but his mother knows what he does for a living and disowns him. Tony is impatient and wants it all however, including Frank's empire and his mistress Elvira Hancock. Once at the top however, Tony's outrageous actions make him a target and everything comes crumbling down."
The Godfather,The Godfather Part III,https://en.wikipedia.org/wiki/The_Godfather_Part_III,https://www.youtube.com/watch?v=UUkG37KSWf0,"In the final installment of the Godfather Trilogy, an aging Don Michael Corleone seeks to legitimize his crime family's interests and remove himself from the violent underworld but is kept back by the ambitions of the young. While he attempts to link the Corleone's finances with the Vatican, Michael must deal with the machinations of a hungrier gangster seeking to upset the existing Mafioso order and a young protege's love affair with his daughter."
The Godfather,The Silence of the Lambs,http://en.wikipedia.org/wiki/The_Silence_of_the_Lambs_(film),https://www.youtube.com/watch?v=W6Mm8Sbe__o,"F.B.I. trainee Clarice Starling (Jodie Foster) works hard to advance her career, while trying to hide or put behind her West Virginia roots, of which if some knew, would automatically classify her as being backward or white trash. After graduation, she aspires to work in the agency's Behavioral Science Unit under the leadership of Jack Crawford (Scott Glenn). While she is still a trainee, Crawford asks her to question Dr. Hannibal Lecter (Sir Anthony Hopkins), a psychiatrist imprisoned, thus far, for eight years in maximum security isolation for being a serial killer who cannibalized his victims. Clarice is able to figure out the assignment is to pick Lecter's brains to help them solve another serial murder case, that of someone coined by the media as ""Buffalo Bill"" (Ted Levine), who has so far killed five victims, all located in the eastern U.S., all young women, who are slightly overweight (especially around the hips), all who were drowned in natural bodies of water, and all who were stripped of large swaths of skin. She also figures that Crawford chose her, as a woman, to be able to trigger some emotional response from Lecter. After speaking to Lecter for the first time, she realizes that everything with him will be a psychological game, with her often having to read between the very cryptic lines he provides. She has to decide how much she will play along, as his request in return for talking to him is to expose herself emotionally to him. The case takes a more dire turn when a sixth victim is discovered, this one from who they are able to retrieve a key piece of evidence, if Lecter is being forthright as to its meaning. A potential seventh victim is high profile Catherine Martin (Brooke Smith), the daughter of Senator Ruth Martin (Diane Baker), which places greater scrutiny on the case as they search for a hopefully still alive Catherine. Who may factor into what happens is Dr. Frederick Chilton (Anthony Heald), the warden at the prison, an opportunist who sees the higher profile with Catherine, meaning a higher profile for himself if he can insert himself successfully into the proceedings."
The Godfather,12 Angry Men,https://en.wikipedia.org/wiki/12_Angry_Men_(1957_film),https://www.youtube.com/watch?v=TEN-2uTi2c0,"The defense and the prosecution have rested, and the jury is filing into the jury room to decide if a young man is guilty or innocent of murdering his father. What begins as an open-and-shut case of murder soon becomes a detective story that presents a succession of clues creating doubt, and a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, AND each other. Based on the play, all of the action takes place on the stage of the jury room."
The Godfather,Hustlers,https://en.wikipedia.org/wiki/Hustlers_(2019_film),https://www.youtube.com/watch?v=P_dfc0iqmig,"Inspired by the viral New York Magazine article, Hustlers follows a crew of savvy former strip club employees who band together to turn the tables on their Wall Street clients."
The Godfather,Forrest Gump,http://en.wikipedia.org/wiki/Forrest_Gump,https://www.youtube.com/watch?v=bLvqoHBptjg,"Forrest Gump is a simple man with a low I.Q. but good intentions. He is running through childhood with his best and only friend Jenny. His 'mama' teaches him the ways of life and leaves him to choose his destiny. Forrest joins the army for service in Vietnam, finding new friends called Dan and Bubba, he wins medals, creates a famous shrimp fishing fleet, inspires people to jog, starts a ping-pong craze, creates the smiley, writes bumper stickers and songs, donates to people and meets the president several times. However, this is all irrelevant to Forrest who can only think of his childhood sweetheart Jenny Curran, who has messed up her life. Although in the end all he wants to prove is that anyone can love anyone."
The Godfather,The God Committee,https://en.wikipedia.org/wiki/The_God_Committee,https://www.youtube.com/watch?v=p8J9QmN5iaE,"As a donor heart arrives at a New York hospital, the intended recipient dies. Due to this unexpected crisis, an organ transplant committee must convene within one hour to decide which of three other patients currently waiting for a transplant deserves the life-saving heart. God's work is now left in the hands of five doctors, including Boxer (Kelsey Grammer), a cynical but brilliant heart surgeon; Jordan (Julia Stiles), an idealistic up-and-comer; and Gilroy (Janeane Garofalo), a weary bureaucrat. As the debate over the heart heats up, ethics and bribes clash, leaving the committee members to question what's more valuable: morals or money?"
The Godfather,Casino,http://en.wikipedia.org/wiki/Casino_(movie),https://www.youtube.com/watch?v=EJXDMwGWhoA,"This Martin Scorsese film depicts the Janus-like quality of Las Vegas--it has a glittering, glamorous face, as well as a brutal, cruel one. Ace Rothstein and Nicky Santoro, mobsters who move to Las Vegas to make their mark, live and work in this paradoxical world. Seen through their eyes, each as a foil to the other, the details of mob involvement in the casinos of the 1970s and '80s are revealed. Ace is the smooth operator of the Tangiers casino, while Nicky is his boyhood friend and tough strongman, robbing and shaking down the locals. However, they each have a tragic flaw--Ace falls in love with a hustler, Ginger, and Nicky falls into an ever-deepening spiral of drugs and violence."
The Godfather,The Departed,http://en.wikipedia.org/wiki/The_Departed,https://www.youtube.com/watch?v=iQpb1LoeVUc,"In this crime-action tour de force, the South Boston state police force is waging war on Irish-American organized crime. Young undercover cop Billy Costigan is assigned to infiltrate the mob syndicate run by gangland chief Frank Costello. While Billy quickly gains Costello's confidence, Colin Sullivan, a hardened young criminal who has infiltrated the state police as an informer for the syndicate is rising to a position of power in the Special Investigation Unit. Each man becomes deeply consumed by their double lives, gathering information about the plans and counter-plans of the operations they have penetrated. But when it becomes clear to both the mob and the police that there is a mole in their midst, Billy and Colin are suddenly in danger of being caught and exposed to the enemy - and each must race to uncover the identity of the other man in time to save themselves. But is either willing to turn on their friends and comrades they've made during their long stints undercover?"
The Godfather,American History X,http://en.wikipedia.org/wiki/American_History_X,https://www.youtube.com/watch?v=XfQYHqsiN5g,"Derek Vineyard is paroled after serving 3 years in prison for brutally killing two black men who tried to break into/steal his truck. Through his brother's, Danny Vineyard, narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did."
The Godfather,Once Upon a Time... in Hollywood,https://en.wikipedia.org/wiki/Once_Upon_a_Time_in_Hollywood,https://www.youtube.com/watch?v=ELeMaP8EPAA,"Quentin Tarantino's Once Upon a Time... in Hollywood visits 1969 Los Angeles, where everything is changing, as TV star Rick Dalton (Leonardo DiCaprio) and his longtime stunt double Cliff Booth (Brad Pitt) make their way around an industry they hardly recognize anymore. The ninth film from the writer-director features a large ensemble cast and multiple storylines in a tribute to the final moments of Hollywood's golden age."
The Godfather,Good Will Hunting,http://en.wikipedia.org/wiki/Good_Will_Hunting,https://www.youtube.com/watch?v=ReIJ1lbL-Q8,"A touching tale of a wayward young man who struggles to find his identity, living in a world where he can solve any problem, except the one brewing deep within himself, until one day he meets his soul mate who opens his mind and his heart."
The Godfather,Pulp Fiction,https://en.wikipedia.org/wiki/Pulp_Fiction,https://www.youtube.com/watch?v=s7EdQ4FqbhY,Jules Winnfield (
The Godfather,Fight Club,http://en.wikipedia.org/wiki/Fight_Club_(film),https://www.youtube.com/watch?v=qtRKdVHc-cE,A nameless first person narrator (
